Source,Target,Type,weight,book
Aegon-I-Targaryen,Daenerys-Targaryen,Undirected,5,1
Aegon-I-Targaryen,Eddard-Stark,Undirected,4,1
Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,Undirected,4,1
Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,Undirected,13,1
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,Undirected,34,1
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,Undirected,5,1
Aerys-II-Targaryen,Brandon-Stark,Undirected,4,1
Aerys-II-Targaryen,Eddard-Stark,Undirected,10,1
Aerys-II-Targaryen,Jaime-Lannister,Undirected,5,1
Aerys-II-Targaryen,Jon-Arryn,Undirected,3,1
Aerys-II-Targaryen,Robert-Baratheon,Undirected,12,1
Alliser-Thorne,Jeor-Mormont,Undirected,10,1
Alliser-Thorne,Jon-Snow,Undirected,32,1
Alliser-Thorne,Samwell-Tarly,Undirected,8,1
Alliser-Thorne,Tyrion-Lannister,Undirected,7,1
Arya-Stark,Benjen-Stark,Undirected,3,1
Arya-Stark,Bran-Stark,Undirected,14,1
Arya-Stark,Catelyn-Stark,Undirected,5,1
Arya-Stark,Cersei-Lannister,Undirected,12,1
Arya-Stark,Eddard-Stark,Undirected,30,1
Arya-Stark,Joffrey-Baratheon,Undirected,39,1
Arya-Stark,Jon-Snow,Undirected,37,1
Arya-Stark,Myrcella-Baratheon,Undirected,13,1
Arya-Stark,Petyr-Baelish,Undirected,3,1
Arya-Stark,Rickon-Stark,Undirected,7,1
Arya-Stark,Robb-Stark,Undirected,15,1
Arya-Stark,Robert-Baratheon,Undirected,8,1
Arya-Stark,Sandor-Clegane,Undirected,7,1
Arya-Stark,Sansa-Stark,Undirected,104,1
Arya-Stark,Tommen-Baratheon,Undirected,5,1
Balon-Greyjoy,Eddard-Stark,Undirected,3,1
Balon-Greyjoy,Robert-Baratheon,Undirected,4,1
Barristan-Selmy,Cersei-Lannister,Undirected,12,1
Barristan-Selmy,Eddard-Stark,Undirected,28,1
Barristan-Selmy,Jaime-Lannister,Undirected,4,1
Barristan-Selmy,Joffrey-Baratheon,Undirected,6,1
